threshold,precision,recall,f1_score,accuracy,tp,fp,tn,fn
0.87,0.3711111111111111,1.0,0.5413290113452188,0.3711111111111111,167,283,0,0
0.875,0.3752808988764045,1.0,0.545751633986928,0.38222222222222224,167,278,5,0
0.88,0.3761261261261261,1.0,0.5466448445171849,0.3844444444444444,167,277,6,0
0.885,0.3804100227790433,1.0,0.5511551155115512,0.39555555555555555,167,272,11,0
0.89,0.3874709976798144,1.0,0.5585284280936456,0.41333333333333333,167,264,19,0
0.895,0.3933649289099526,0.9940119760479041,0.5636672325976231,0.4288888888888889,166,256,27,1
0.9,0.4029126213592233,0.9940119760479041,0.5734024179620034,0.45111111111111113,166,246,37,1
0.905,0.4114713216957606,0.9880239520958084,0.5809859154929577,0.4711111111111111,165,236,47,2
0.91,0.42091836734693877,0.9880239520958084,0.5903398926654742,0.4911111111111111,165,227,56,2
0.915,0.4385026737967914,0.9820359281437125,0.6062846580406653,0.5266666666666666,164,210,73,3
0.92,0.45738636363636365,0.9640718562874252,0.6204238921001927,0.5622222222222222,161,191,92,6
0.925,0.4746268656716418,0.9520958083832335,0.6334661354581673,0.5911111111111111,159,176,107,8
0.93,0.5166666666666667,0.9281437125748503,0.6638115631691649,0.6511111111111111,155,145,138,12
0.935,0.5255972696245734,0.9221556886227545,0.6695652173913044,0.6622222222222223,154,139,144,13
0.9400000000000001,0.5333333333333333,0.9101796407185628,0.6725663716814159,0.6711111111111111,152,133,150,15
0.9450000000000001,0.5434782608695652,0.8982035928143712,0.6772009029345372,0.6822222222222222,150,126,157,17
0.9500000000000001,0.5606060606060606,0.8862275449101796,0.6867749419953596,0.7,148,116,167,19
0.9550000000000001,0.5846774193548387,0.8682634730538922,0.6987951807228917,0.7222222222222222,145,103,180,22
0.9600000000000001,0.6042553191489362,0.8502994011976048,0.7064676616915423,0.7377777777777778,142,93,190,25
0.9650000000000001,0.6244343891402715,0.8263473053892215,0.7113402061855669,0.7511111111111111,138,83,200,29
0.9700000000000001,0.6502463054187192,0.7904191616766467,0.7135135135135134,0.7644444444444445,132,71,212,35
0.9750000000000001,0.6737967914438503,0.7544910179640718,0.711864406779661,0.7733333333333333,126,61,222,41
0.9800000000000001,0.6839080459770115,0.7125748502994012,0.6979472140762463,0.7711111111111111,119,55,228,48
0.9850000000000001,0.7125,0.6826347305389222,0.6972477064220184,0.78,114,46,237,53
0.9900000000000001,0.7266666666666667,0.6526946107784432,0.6876971608832808,0.78,109,41,242,58
0.9950000000000001,0.896551724137931,0.31137724550898205,0.46222222222222226,0.7311111111111112,52,6,277,115
