threshold,precision,recall,f1_score,accuracy,tp,fp,tn,fn
0.85,0.42444444444444446,1.0,0.5959438377535102,0.42444444444444446,191,259,0,0
0.855,0.42444444444444446,1.0,0.5959438377535102,0.42444444444444446,191,259,0,0
0.86,0.42444444444444446,1.0,0.5959438377535102,0.42444444444444446,191,259,0,0
0.865,0.42444444444444446,1.0,0.5959438377535102,0.42444444444444446,191,259,0,0
0.87,0.4272930648769575,1.0,0.5987460815047022,0.4311111111111111,191,256,3,0
0.875,0.43018018018018017,1.0,0.6015748031496063,0.43777777777777777,191,253,6,0
0.88,0.4340909090909091,1.0,0.6053882725832013,0.44666666666666666,191,249,10,0
0.885,0.43908045977011495,1.0,0.6102236421725239,0.4577777777777778,191,244,15,0
0.89,0.44366197183098594,0.9895287958115183,0.6126418152350082,0.4688888888888889,189,237,22,2
0.895,0.4510739856801909,0.9895287958115183,0.6196721311475409,0.48444444444444446,189,230,29,2
0.9,0.4563106796116505,0.9842931937172775,0.6235489220563847,0.4955555555555556,188,224,35,3
0.905,0.4707379134860051,0.9685863874345549,0.6335616438356164,0.5244444444444445,185,208,51,6
0.91,0.4945945945945946,0.9581151832460733,0.6524064171122994,0.5666666666666667,183,187,72,8
0.915,0.5249266862170088,0.93717277486911,0.6729323308270676,0.6133333333333333,179,162,97,12
0.92,0.5833333333333334,0.9162303664921466,0.7128309572301427,0.6866666666666666,175,125,134,16
0.925,0.6076388888888888,0.9162303664921466,0.7306889352818372,0.7133333333333334,175,113,146,16
0.93,0.6290909090909091,0.9057591623036649,0.7424892703862662,0.7333333333333333,173,102,157,18
0.935,0.6450381679389313,0.8848167539267016,0.7461368653421633,0.7444444444444445,169,93,166,22
0.9400000000000001,0.6733870967741935,0.8743455497382199,0.7608200455580866,0.7666666666666667,167,81,178,24
0.9450000000000001,0.7180616740088106,0.8534031413612565,0.7799043062200957,0.7955555555555556,163,64,195,28
0.9500000000000001,0.7571428571428571,0.8324607329842932,0.7930174563591023,0.8155555555555556,159,51,208,32
0.9550000000000001,0.8134715025906736,0.8219895287958116,0.8177083333333333,0.8444444444444444,157,36,223,34
0.9600000000000001,0.8757062146892656,0.8115183246073299,0.8423913043478262,0.8711111111111111,155,22,237,36
0.9650000000000001,0.9005847953216374,0.806282722513089,0.8508287292817679,0.88,154,17,242,37
0.9700000000000001,0.9259259259259259,0.7853403141361257,0.8498583569405099,0.8822222222222222,150,12,247,41
0.9750000000000001,0.9548387096774194,0.774869109947644,0.8554913294797688,0.8888888888888888,148,7,252,43
0.9800000000000001,0.9671052631578947,0.7696335078534031,0.8571428571428571,0.8911111111111111,147,5,254,44
0.9850000000000001,0.9666666666666667,0.7591623036649214,0.8504398826979472,0.8866666666666667,145,5,254,46
0.9900000000000001,0.9666666666666667,0.7591623036649214,0.8504398826979472,0.8866666666666667,145,5,254,46
0.9950000000000001,0.9811320754716981,0.27225130890052357,0.4262295081967213,0.6888888888888889,52,1,258,139
1.0,0.0,0.0,0.0,0.5755555555555556,0,0,259,191
